schema;table;column_id;column;fk_relation;relationship_entity;r_private_key;r_column_id;domain
Person;2;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;BusinessEntityID;>-;Person.BusinessEntity;BusinessEntityID;1;FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID;int
Person;2;AddressID;>-;Person.Address;AddressID;1;FK_BusinessEntityAddress_Address_AddressID;int
Person;3;AddressTypeID;>-;Person.AddressType;AddressTypeID;1;FK_BusinessEntityAddress_AddressType_AddressTypeID;int
Person;4;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;BusinessEntityID;>-;Person.BusinessEntity;BusinessEntityID;1;FK_BusinessEntityContact_BusinessEntity_BusinessEntityID;int
Person;2;PersonID;>-;Person.Person;BusinessEntityID;1;FK_BusinessEntityContact_Person_PersonID;int
Person;3;ContactTypeID;>-;Person.ContactType;ContactTypeID;1;FK_BusinessEntityContact_ContactType_ContactTypeID;int
Person;4;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;ContactTypeID;NULL;NULL;NULL;NULL;NULL;int
Person;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Person;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;CountryRegionCode;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Person;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;BusinessEntityID;>-;Person.Person;BusinessEntityID;1;FK_EmailAddress_Person_BusinessEntityID;int
Person;2;EmailAddressID;NULL;NULL;NULL;NULL;NULL;int
Person;3;EmailAddress;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;4;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;BusinessEntityID;>-;Person.Person;BusinessEntityID;1;FK_Password_Person_BusinessEntityID;int
Person;2;PasswordHash;NULL;NULL;NULL;NULL;NULL;varchar
Person;3;PasswordSalt;NULL;NULL;NULL;NULL;NULL;varchar
Person;4;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;BusinessEntityID;>-;Person.BusinessEntity;BusinessEntityID;1;FK_Person_BusinessEntity_BusinessEntityID;int
Person;2;PersonType;NULL;NULL;NULL;NULL;NULL;nchar
Person;3;NameStyle;NULL;NULL;NULL;NULL;NULL;NameStyle
Person;4;Title;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;5;FirstName;NULL;NULL;NULL;NULL;NULL;Name
Person;6;MiddleName;NULL;NULL;NULL;NULL;NULL;Name
Person;7;LastName;NULL;NULL;NULL;NULL;NULL;Name
Person;8;Suffix;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;9;EmailPromotion;NULL;NULL;NULL;NULL;NULL;int
Person;10;AdditionalContactInfo;NULL;NULL;NULL;NULL;NULL;xml
Person;11;Demographics;NULL;NULL;NULL;NULL;NULL;xml
Person;12;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;13;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;BusinessEntityID;>-;Person.Person;BusinessEntityID;1;FK_PersonPhone_Person_BusinessEntityID;int
Person;2;PhoneNumber;NULL;NULL;NULL;NULL;NULL;Phone
Person;3;PhoneNumberTypeID;>-;Person.PhoneNumberType;PhoneNumberTypeID;1;FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID;int
Person;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;PhoneNumberTypeID;NULL;NULL;NULL;NULL;NULL;int
Person;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Person;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;StateProvinceID;NULL;NULL;NULL;NULL;NULL;int
Person;2;StateProvinceCode;NULL;NULL;NULL;NULL;NULL;nchar
Person;3;CountryRegionCode;>-;Person.CountryRegion;CountryRegionCode;1;FK_StateProvince_CountryRegion_CountryRegionCode;nvarchar
Person;4;IsOnlyStateProvinceFlag;NULL;NULL;NULL;NULL;NULL;Flag
Person;5;Name;NULL;NULL;NULL;NULL;NULL;Name
Person;6;TerritoryID;>-;Sales.SalesTerritory;TerritoryID;1;FK_StateProvince_SalesTerritory_TerritoryID;int
Person;7;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;8;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;BillOfMaterialsID;NULL;NULL;NULL;NULL;NULL;int
Production;2;ProductAssemblyID;>-;Production.Product;ProductID;1;FK_BillOfMaterials_Product_ProductAssemblyID;int
Production;3;ComponentID;>-;Production.Product;ProductID;1;FK_BillOfMaterials_Product_ComponentID;int
Production;4;StartDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;5;EndDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;6;UnitMeasureCode;>-;Production.UnitMeasure;UnitMeasureCode;1;FK_BillOfMaterials_UnitMeasure_UnitMeasureCode;nchar
Production;7;BOMLevel;NULL;NULL;NULL;NULL;NULL;smallint
Production;8;PerAssemblyQty;NULL;NULL;NULL;NULL;NULL;decimal
Production;9;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;CultureID;NULL;NULL;NULL;NULL;NULL;nchar
Production;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Production;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;DocumentNode;NULL;NULL;NULL;NULL;NULL;hierarchyid
Production;2;DocumentLevel;NULL;NULL;NULL;NULL;NULL;smallint
Production;3;Title;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;4;Owner;>-;HumanResources.Employee;BusinessEntityID;1;FK_Document_Employee_Owner;int
Production;5;FolderFlag;NULL;NULL;NULL;NULL;NULL;bit
Production;6;FileName;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;7;FileExtension;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;8;Revision;NULL;NULL;NULL;NULL;NULL;nchar
Production;9;ChangeNumber;NULL;NULL;NULL;NULL;NULL;int
Production;10;Status;NULL;NULL;NULL;NULL;NULL;tinyint
Production;11;DocumentSummary;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;12;Document;NULL;NULL;NULL;NULL;NULL;varbinary
Production;13;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Production;14;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;IllustrationID;NULL;NULL;NULL;NULL;NULL;int
Production;2;Diagram;NULL;NULL;NULL;NULL;NULL;xml
Production;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;LocationID;NULL;NULL;NULL;NULL;NULL;smallint
Production;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Production;3;CostRate;NULL;NULL;NULL;NULL;NULL;smallmoney
Production;4;Availability;NULL;NULL;NULL;NULL;NULL;decimal
Production;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductID;NULL;NULL;NULL;NULL;NULL;int
Production;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Production;3;ProductNumber;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;4;MakeFlag;NULL;NULL;NULL;NULL;NULL;Flag
Production;5;FinishedGoodsFlag;NULL;NULL;NULL;NULL;NULL;Flag
Production;6;Color;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;7;SafetyStockLevel;NULL;NULL;NULL;NULL;NULL;smallint
Production;8;ReorderPoint;NULL;NULL;NULL;NULL;NULL;smallint
Production;9;StandardCost;NULL;NULL;NULL;NULL;NULL;money
Production;10;ListPrice;NULL;NULL;NULL;NULL;NULL;money
Production;11;Size;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;12;SizeUnitMeasureCode;>-;Production.UnitMeasure;UnitMeasureCode;1;FK_Product_UnitMeasure_SizeUnitMeasureCode;nchar
